"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","109.0","1051.6","6.8","0.2","254.4"
"Brock Bowers","LV","96.5","1026.3","7.5","0.2","243.9"
"Colston Loveland","CHI","78.7","929.6","6.7","0.2","211.3"
"Tyler Warren","IND","83.0","873.0","5.4","0.3","202.3"
"Kyle Pitts Sr.","ATL","79.5","881.3","4.7","0.1","195.7"
"Harold Fannin Jr.","CLE","78.7","815.8","5.4","0.8","191.0"
"Sam LaPorta","DET","70.4","814.0","5.5","0.2","184.2"
"Travis Kelce","KC","74.9","785.2","4.8","0.3","181.9"
"Dallas Goedert","PHI","65.5","689.4","7.6","0.2","179.5"
"Tucker Kraft","GB","61.5","786.4","6.5","0.2","178.5"
"George Kittle","SF","66.3","753.4","5.7","0.2","175.7"
"Jake Ferguson","DAL","74.1","606.7","5.9","1.4","167.6"
"Isaiah Likely","NYG","62.8","745.5","5.0","1.3","165.0"
"Mark Andrews","BAL","59.0","612.7","7.4","0.3","163.9"
"Dalton Kincaid","BUF","57.1","707.0","5.5","0.2","160.2"
"Juwan Johnson","NO","64.8","727.6","3.2","1.3","154.4"
"Brenton Strange","JAC","60.0","661.3","4.3","0.2","151.7"
"Hunter Henry","NE","55.6","645.1","5.1","0.1","150.3"
"Dalton Schultz","HOU","65.8","628.5","3.4","0.2","148.5"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","140.6"
"Pat Freiermuth","PIT","53.0","560.1","4.3","0.2","134.1"
"Greg Dulcich","MIA","54.6","620.0","3.2","1.2","133.5"
"Cade Otton","TB","55.2","558.0","3.1","0.1","129.3"
"Kenyon Sadiq","NYJ","49.7","546.8","4.1","0.7","127.3"
"Chig Okonkwo","WAS","52.8","570.0","2.8","0.1","126.2"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","124.4"
"Terrance Ferguson","LAR","37.3","516.8","4.8","0.2","117.4"
"Evan Engram","DEN","53.4","475.1","2.7","0.1","117.0"
"Gunnar Helm","TEN","48.9","444.1","3.1","0.2","111.5"
"Oronde Gadsden II","LAC","40.4","509.1","3.2","0.6","109.1"
"Mike Gesicki","CIN","41.3","434.1","3.6","0.1","106.0"
"Darren Waller","CAR","37.4","392.6","4.3","0.1","102.5"
"Mason Taylor","NYJ","45.8","403.8","2.4","0.1","100.7"
"David Njoku","LAC","38.3","363.1","4.3","0.1","100.0"
"Colby Parkinson","LAR","34.3","352.5","4.0","0.6","92.5"
"Michael Mayer","LV","40.0","377.8","2.1","0.1","90.1"
"Dawson Knox","BUF","28.6","331.6","2.9","0.1","79.2"
"Theo Johnson","NYG","27.5","313.8","2.9","0.1","75.9"
"Darnell Washington","PIT","30.7","329.3","2.0","0.6","74.1"
"Tyler Higbee","LAR","26.1","306.5","2.4","0.0","71.2"
"Erick All Jr.","CIN","30.4","268.4","1.9","0.1","68.7"
"Cole Kmet","CHI","26.2","274.4","2.2","0.1","66.9"
"Noah Fant","NO","29.3","273.6","1.6","1.6","63.1"
"Will Kacmarek","MIA","26.6","251.0","1.9","0.6","61.8"
"Austin Hooper","ATL","22.5","236.4","1.6","0.1","55.7"
"Charlie Kolar","LAC","20.2","230.2","2.0","0.1","55.4"
"Josh Oliver","MIN","18.6","194.3","2.4","0.1","52.1"
"Daniel Bellinger","TEN","19.3","222.2","1.7","0.0","51.9"
"Brock Wright","DET","19.9","175.6","2.3","0.0","51.2"
"Noah Gray","KC","21.0","211.6","1.5","0.1","50.9"
"Eli Stowers","PHI","20.9","214.5","1.4","0.6","49.6"
